ORDER#,NAME,MOX,MOX-UNS,BAC9,CHM,C4M,GRI,GRI-UNS,GBAC9,CHG,C4G,HB,CUA,LCUA,MSB,SB,HD,MIN-MOX,MIN-GRI,MIN-JAL,MIN-CRA,MUFL,MUFB,MFL-6
3189 ,Rubys Midtown,,,,,,,,,,,3,3,,,,,,,,,,,
3191 ,Noz Catering,8,,,,,,,,,,,,,,,,,,,,,,
3192 ,Soho House,,,,,,,,,,3,,,,,,,,,,,,,
3193 ,Late Night with Stephen Colbert o/b/o Amy Schwartz ,,,1,,,,,,,,,,,,,,,,,,,,
3194 ,BIMMYS,,14,,,,,,,,,,,,,,,,,,,,,
3195 ,Cafe Cluny,6,,,,,,,,,,,,,,,,,,,,,,
3196 ,Little Beet Table,,,,,,10,,,,,,,,,,,,,,,,,
3198 ,Facebook - AP,5,,,,,5,,,,,,,,,,,,,,,,,
3199 ,UNION MARKET HOUSTON STREET ,,,2,1,,,,,,,,,,,,,,,,,,,
3200 ,UNION MARKET COURT  STREET,,,2,,,,,1,,,,,,,,,,,,,,,
3201 ,Springbone Kitchen,,,,3,,,,,,,3,,,,,,,,,,,,
3203 ,Tom Cat Bakery,44,,3,,,3,,,,,6,,,2,,,1,,,,,,
3204 ,Free Bread Samples,,,1,,,,,,1,,1,1,,1,,,,,,,1,1,
